preference,GDPquant,GEIquant,meanGender,meanGenderGEI
trust,1,4,-0.0145239293006004,0.116759004204915
trust,2,1,0.0425167486071489,0.0124221996621082
trust,3,2,0.0702878906913665,0.0170527426196461
trust,4,3,0.145759723484298,0.0777091715760084
trust,4,4,0.145759723484298,0.116759004204915
trust,1,1,-0.0145239293006004,0.0124221996621082
trust,1,2,-0.0145239293006004,0.0170527426196461
trust,2,4,0.0425167486071489,0.116759004204915
trust,2,2,0.0425167486071489,0.0170527426196461
trust,2,3,0.0425167486071489,0.0777091715760084
trust,3,3,0.0702878906913665,0.0777091715760084
trust,3,4,0.0702878906913665,0.116759004204915
trust,3,1,0.0702878906913665,0.0124221996621082
trust,1,3,-0.0145239293006004,0.0777091715760084
trust,4,2,0.145759723484298,0.0170527426196461
altruism,1,4,0.0213849831169438,0.137587138010836
altruism,2,1,0.0693408083805831,0.0322246437827506
altruism,3,2,0.140407274426088,0.105746694397625
altruism,4,3,0.167870518902748,0.111837612152451
altruism,4,4,0.167870518902748,0.137587138010836
altruism,1,1,0.0213849831169438,0.0322246437827506
altruism,1,2,0.0213849831169438,0.105746694397625
altruism,2,4,0.0693408083805831,0.137587138010836
altruism,2,2,0.0693408083805831,0.105746694397625
altruism,2,3,0.0693408083805831,0.111837612152451
altruism,3,3,0.140407274426088,0.111837612152451
altruism,3,4,0.140407274426088,0.137587138010836
altruism,3,1,0.140407274426088,0.0322246437827506
altruism,1,3,0.0213849831169438,0.111837612152451
altruism,4,2,0.167870518902748,0.105746694397625
negrecip,1,4,0.0915906474009548,0.170982906146126
negrecip,2,1,0.119252894041279,0.12554192860383
negrecip,3,2,0.128881192257562,0.0701395183815765
negrecip,4,3,0.191559914808745,0.149334826282323
negrecip,4,4,0.191559914808745,0.170982906146126
negrecip,1,1,0.0915906474009548,0.12554192860383
negrecip,1,2,0.0915906474009548,0.0701395183815765
negrecip,2,4,0.119252894041279,0.170982906146126
negrecip,2,2,0.119252894041279,0.0701395183815765
negrecip,2,3,0.119252894041279,0.149334826282323
negrecip,3,3,0.128881192257562,0.149334826282323
negrecip,3,4,0.128881192257562,0.170982906146126
negrecip,3,1,0.128881192257562,0.12554192860383
negrecip,1,3,0.0915906474009548,0.149334826282323
negrecip,4,2,0.191559914808745,0.0701395183815765
posrecip,1,4,-0.00849566608768024,0.0728693354394434
posrecip,2,1,0.0579284863672362,0.0112440756827362
posrecip,3,2,0.103094769594679,0.0691127911883946
posrecip,4,3,0.0529387893875283,0.0457462554667585
posrecip,4,4,0.0529387893875283,0.0728693354394434
posrecip,1,1,-0.00849566608768024,0.0112440756827362
posrecip,1,2,-0.00849566608768024,0.0691127911883946
posrecip,2,4,0.0579284863672362,0.0728693354394434
posrecip,2,2,0.0579284863672362,0.0691127911883946
posrecip,2,3,0.0579284863672362,0.0457462554667585
posrecip,3,3,0.103094769594679,0.0457462554667585
posrecip,3,4,0.103094769594679,0.0728693354394434
posrecip,3,1,0.103094769594679,0.0112440756827362
posrecip,1,3,-0.00849566608768024,0.0457462554667585
posrecip,4,2,0.0529387893875283,0.0691127911883946
risktaking,1,4,0.133113903394461,0.20046468156489
risktaking,2,1,0.160196183130813,0.164125848868725
risktaking,3,2,0.164800887771074,0.117293082518705
risktaking,4,3,0.227201933710197,0.191855600712467
risktaking,4,4,0.227201933710197,0.20046468156489
risktaking,1,1,0.133113903394461,0.164125848868725
risktaking,1,2,0.133113903394461,0.117293082518705
risktaking,2,4,0.160196183130813,0.20046468156489
risktaking,2,2,0.160196183130813,0.117293082518705
risktaking,2,3,0.160196183130813,0.191855600712467
risktaking,3,3,0.164800887771074,0.191855600712467
risktaking,3,4,0.164800887771074,0.20046468156489
risktaking,3,1,0.164800887771074,0.164125848868725
risktaking,1,3,0.133113903394461,0.191855600712467
risktaking,4,2,0.227201933710197,0.117293082518705
patience,1,4,0.0225768540457005,0.115702965439547
patience,2,1,0.0138043329507957,0.0243881981085201
patience,3,2,0.0411147993927487,0.0169590067919287
patience,4,3,0.146525389278903,0.0442496638664424
patience,4,4,0.146525389278903,0.115702965439547
patience,1,1,0.0225768540457005,0.0243881981085201
patience,1,2,0.0225768540457005,0.0169590067919287
patience,2,4,0.0138043329507957,0.115702965439547
patience,2,2,0.0138043329507957,0.0169590067919287
patience,2,3,0.0138043329507957,0.0442496638664424
patience,3,3,0.0411147993927487,0.0442496638664424
patience,3,4,0.0411147993927487,0.115702965439547
patience,3,1,0.0411147993927487,0.0243881981085201
patience,1,3,0.0225768540457005,0.0442496638664424
patience,4,2,0.146525389278903,0.0169590067919287
